feature_name,physical_group,decision_time_available,lookahead_bars,future_data_risk,risk_reason,confirmed_leak,suggested_action
dsa_alignment_1h,趋势,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
dsa_vwap_dev_rel_1h,成交量或成交参与,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
momentum_direction_5m,动量,YES,0,NONE,决策时点由已冻结的当期结构与指标直接得到,False,保持使用
momentum_value_rel_5m,动量,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
momentum_delta_rel_5m,动量,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
momentum_direction_15m,动量,YES,0,NONE,决策时点由已冻结的当期结构与指标直接得到,False,保持使用
momentum_value_rel_15m,动量,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
momentum_delta_rel_15m,动量,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
momentum_direction_1h,动量,YES,0,NONE,决策时点由已冻结的当期结构与指标直接得到,False,保持使用
momentum_value_rel_1h,动量,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
momentum_delta_rel_1h,动量,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
quant_state,波动,YES,0,REVIEW_REQUIRED,分位机会宽度是决策时点的模型输出，分位参考分布按 fold 拟合；需复核分位模型输入是否全部决策时点可知,False,保持使用，训练前人工复核分位模型输入
quant_width_percentile_train,波动,YES,0,REVIEW_REQUIRED,分位机会宽度是决策时点的模型输出，分位参考分布按 fold 拟合；需复核分位模型输入是否全部决策时点可知,False,保持使用，训练前人工复核分位模型输入
trade_mode,其他,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
trade_direction,其他,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
target_R,其他,ACTION_DEPENDENT,0,NONE,取值依赖被评估的动作（按交易方向旋转或除以目标距离），不存在单一事件状态取值,False,需裁决输入口径后再训练，见 experiment_contract.json
